住所,人口数,世帯数,,,,,,,,
飛田給１丁目　　　　　　　　　　　　　　                    ,3253,1969,,,,,,,,
飛田給２丁目　　　　　　　　　　　　　　                    ,2871,1690,,,,,,,,　
飛田給３丁目　　　　　　　　　　　　　　                    ,2101,1008,,,,,,,,
上石原１丁目　　　　　　　　　　　　　　                    ,3027,1904,,,,,,,,
上石原２丁目　　　　　　　　　　　　　　                    ,2261,1310,,,,,,,,
上石原３丁目　　　　　　　　　　　　　　                    ,5126,2278,,,,,,,,
富士見町１丁目　　　　　　　　　　　　　                    ,1449,737,,,,,,,,
富士見町２丁目　　　　　　　　　　　　　                    ,2744,1460,,,,,,,,
富士見町３丁目　　　　　　　　　　　　　                    ,2840,1405,,,,,,,,
富士見町４丁目　　　　　　　　　　　　　                    ,1978,984,,,,,,,,
下石原１丁目　　　　　　　　　　　　　　                    ,2498,1411,,,,,,,,
下石原２丁目　　　　　　　　　　　　　　                    ,2478,1276,,,,,,,,
下石原３丁目　　　　　　　　　　　　　　                    ,3884,1985,,,,,,,,
小島町１丁目　　　　　　　　　　　　　　                    ,3344,1919,,,,,,,,
小島町２丁目　　　　　　　　　　　　　　                    ,2844,1774,,,,,,,,
小島町３丁目　　　　　　　　　　　　　　                    ,4706,2588,,,,,,,,
布田１丁目　　　　　　　　　　　　　　　                    ,2534,1527,,,,,,,,
布田２丁目　　　　　　　　　　　　　　　                    ,3084,1994,,,,,,,,
布田３丁目　　　　　　　　　　　　　　　                    ,2036,1196,,,,,,,,
布田４丁目　　　　　　　　　　　　　　　                    ,2777,1666,,,,,,,,
布田５丁目　　　　　　　　　　　　　　　                    ,2410,1278,,,,,,,,
布田６丁目　　　　　　　　　　　　　　　                    ,2144,1008,,,,,,,,
国領町１丁目　　　　　　　　　　　　　　                    ,4125,2531,,,,,,,,
国領町２丁目　　　　　　　　　　　　　　                    ,2055,1117,,,,,,,,
国領町３丁目　　　　　　　　　　　　　　                    ,3572,2028,,,,,,,,
国領町４丁目　　　　　　　　　　　　　　                    ,4025,2130,,,,,,,,
国領町５丁目　　　　　　　　　　　　　　                    ,3754,2138,,,,,,,,
国領町６丁目　　　　　　　　　　　　　　                    ,1299,689,,,,,,,,
国領町７丁目　　　　　　　　　　　　　　                    ,3501,1787,,,,,,,,
国領町８丁目　　　　　　　　　　　　　　                    ,4688,2375,,,,,,,,
染地１丁目　　　　　　　　　　　　　　　                    ,2179,916,,,,,,,,
染地２丁目　　　　　　　　　　　　　　　                    ,7321,3113,,,,,,,,
染地３丁目　　　　　　　　　　　　　　　                    ,5343,2803,,,,,,,,
多摩川１丁目　　　　　　　　　　　　　　                    ,5342,2246,,,,,,,,
多摩川２丁目　　　　　　　　　　　　　　                    ,745,429,,,,,,,,
多摩川３丁目　　　　　　　　　　　　　　                    ,4326,2250,,,,,,,,
多摩川４丁目　　　　　　　　　　　　　　                    ,903,525,,,,,,,,
多摩川５丁目　　　　　　　　　　　　　　                    ,3007,1853,,,,,,,,
多摩川６丁目　　　　　　　　　　　　　　                    ,1116,581,,,,,,,,
多摩川７丁目　　　　　　　　　　　　　　                    ,1244,690,,,,,,,,
佐須町１丁目　　　　　　　　　　　　　　                    ,843,369,,,,,,,,
佐須町２丁目　　　　　　　　　　　　　　                    ,1278,623,,,,,,,,
佐須町３丁目　　　　　　　　　　　　　　                    ,1229,599,,,,,,,,
佐須町４丁目　　　　　　　　　　　　　　                    ,1991,859,,,,,,,,
佐須町５丁目　　　　　　　　　　　　　　                    ,545,302,,,,,,,,
柴崎１丁目　　　　　　　　　　　　　　　                    ,3480,1836,,,,,,,,
柴崎２丁目　　　　　　　　　　　　　　　                    ,4677,2130,,,,,,,,
菊野台１丁目　　　　　　　　　　　　　　                    ,2569,1589,,,,,,,,
菊野台２丁目　　　　　　　　　　　　　　                    ,3041,1806,,,,,,,,
菊野台３丁目　　　　　　　　　　　　　　                    ,3890,2017,,,,,,,,
東つつじケ丘１丁目　　　　　　　　　　　                    ,1103,706,,,,,,,,
東つつじケ丘２丁目　　　　　　　　　　　                    ,2319,1278,,,,,,,,
東つつじケ丘３丁目　　　　　　　　　　　                    ,2358,1172,,,,,,,,
西つつじケ丘１丁目　　　　　　　　　　　                    ,5134,2646,,,,,,,,
西つつじケ丘２丁目　　　　　　　　　　　                    ,1778,864,,,,,,,,
西つつじケ丘３丁目　　　　　　　　　　　                    ,2660,1706,,,,,,,,
西つつじケ丘４丁目　　　　　　　　　　　                    ,5701,3280,,,,,,,,
入間町１丁目　　　　　　　　　　　　　　                    ,3237,1617,,,,,,,,
入間町２丁目　　　　　　　　　　　　　　                    ,3896,1736,,,,,,,,
入間町３丁目　　　　　　　　　　　　　　                    ,1958,904,,,,,,,,
仙川町１丁目　　　　　　　　　　　　　　                    ,2929,1914,,,,,,,,
仙川町２丁目　　　　　　　　　　　　　　                    ,3114,1685,,,,,,,,
仙川町３丁目　　　　　　　　　　　　　　                    ,1650,934,,,,,,,,
緑ケ丘１丁目　　　　　　　　　　　　　　                    ,2285,1218,,,,,,,,
緑ケ丘２丁目　　　　　　　　　　　　　　                    ,4254,2116,,,,,,,,
野水１丁目　　　　　　　　　　　　　　　                    ,136,60,,,,,,,,
野水２丁目　　　　　　　　　　　　　　　                    ,      ,      ,,,,,,,,
西町　　　　　　　　　　　　　　　　　　                    ,105,105,,,,,,,,
若葉町１丁目　　　　　　　　　　　　　　                    ,2743,1476,,,,,,,,
若葉町２丁目　　　　　　　　　　　　　　                    ,2254,1295,,,,,,,,
若葉町３丁目　　　　　　　　　　　　　　                    ,1263,602,,,,,,,,
調布ケ丘１丁目　　　　　　　　　　　　　                    ,2800,1353,,,,,,,,
調布ケ丘２丁目　　　　　　　　　　　　　                    ,2015,1117,,,,,,,,
調布ケ丘３丁目　　　　　　　　　　　　　                    ,5294,2420,,,,,,,,
調布ケ丘４丁目　　　　　　　　　　　　　                    ,1399,721,,,,,,,,
深大寺元町１丁目　　　　　　　　　　　　                    ,1112,608,,,,,,,,
深大寺元町２丁目　　　　　　　　　　　　                    ,748,328,,,,,,,,
深大寺元町３丁目　　　　　　　　　　　　                    ,1203,555,,,,,,,,
深大寺元町４丁目　　　　　　　　　　　　                    ,1289,599,,,,,,,,
深大寺元町５丁目　　　　　　　　　　　　                    ,395,206,,,,,,,,
深大寺北町１丁目　　　　　　　　　　　　                    ,1040,495,,,,,,,,
深大寺北町２丁目　　　　　　　　　　　　                    ,697,329,,,,,,,,
深大寺北町３丁目　　　　　　　　　　　　                    ,735,316,,,,,,,,
深大寺北町４丁目　　　　　　　　　　　　                    ,1033,446,,,,,,,,
深大寺北町５丁目　　　　　　　　　　　　                    ,1122,514,,,,,,,,
深大寺北町６丁目　　　　　　　　　　　　                    ,2271,1021,,,,,,,,
深大寺北町７丁目　　　　　　　　　　　　                    ,1205,514,,,,,,,,
深大寺東町１丁目　　　　　　　　　　　　                    ,1267,600,,,,,,,,
深大寺東町２丁目　　　　　　　　　　　　                    ,891,389,,,,,,,,
深大寺東町３丁目　　　　　　　　　　　　                    ,1667,696,,,,,,,,
深大寺東町４丁目　　　　　　　　　　　　                    ,1457,642,,,,,,,,
深大寺東町５丁目　　　　　　　　　　　　                    ,1317,618,,,,,,,,
深大寺東町６丁目　　　　　　　　　　　　                    ,1799,889,,,,,,,,
深大寺東町７丁目　　　　　　　　　　　　                    ,2042,847,,,,,,,,
深大寺東町８丁目　　　　　　　　　　　　                    ,1259,649,,,,,,,,
深大寺南町１丁目　　　　　　　　　　　　                    ,564,254,,,,,,,,
深大寺南町２丁目　　　　　　　　　　　　                    ,573,239,,,,,,,,
深大寺南町３丁目　　　　　　　　　　　　                    ,2000,772,,,,,,,,
深大寺南町４丁目　　　　　　　　　　　　                    ,665,318,,,,,,,,
深大寺南町５丁目　　　　　　　　　　　　                    ,1350,621,,,,,,,,
八雲台１丁目　　　　　　　　　　　　　　                    ,2035,1084,,,,,,,,
八雲台２丁目　　　　　　　　　　　　　　                    ,932,537,,,,,,,,
